Organisation,Title,Date,Link,Text
Rainbow Migration,“It is a way of getting my voice heard in cases where it normally wouldn’t be heard”,06-Feb-23,https://www.rainbowmigration.org.uk/news/it-is-a-way-of-getting-my-voice-heard-in-cases-where-it-normally-wouldnt-be-heard/,"We work with a ‘Campaigns Advisory Group’ made up of LGBTQI+ people with lived experience of the UK asylum system to steer our public campaigning. The group meets regularly with staff to plan, deliver and evaluate activities for ourNo Pride In Detention campaign. Vanessa, one of the current members, told us her thoughts on being part of this group. “I came across the advisory role from a friend who knows how passionate I am about the rights of LGBTQ+ people seeking asylum and refugees. At first I was hesitant because I am a bit anxious but I went for it. I remember the interview with Emma and Carla, it was very informal and I was literally on a coach to Manchester. Talking to Emma about my expected commitment got me very excited and I looked forward to joining the advisory team. I remember receiving the email that I was successful and feeling hopeful for the future and participating in influencing decisions. It has been a very good experience, I have learnt so much about the refugee system, apart from experiencing the asylum system, from the research and reports that have been conducted I have walked in the shoes of others.” It is a way of getting my voice heard in cases where it normally wouldn’t be heard. The best part about this is being able to influence decisions, coming up with ideas for campaigns, participating in events. It is a way of getting my voice heard in cases where it normally wouldn’t be heard. I had heard about detention centres but never heard stories from LGBTQ+ people who had actually stayed in detention centres. Being in the advisory group has opened my eyes to the struggles and has also created the passion to lend my voice and words against detention. Imagine leaving a country that restricts your rights and freedom and then getting into a prison like environment, it can be devastating. So whether it is silently lending your voice, participating in campaigns and researches, if you are passionate about helping people then this is the right place.”  To learn more aboutRainbow Migration’sCampaigns Advisory Group and how you canget involved,pleasesee the role descriptionand application form. Disclaimer The content of this website is provided for general information only and should not be relied on as legal advice. Rainbow Migration disclaims any liability resulting from reliance on such information. You are strongly advised to seek professional legal advice from a qualified immigration solicitor.  hello@rainbowmigration.org.uk020 7922 78117-14 Great Dover St,London SE1 4YR © 2024 Rainbow Migration. All rights reserved"
Rainbow Migration,Travelling as a person with refugee status,23-Jan-23,https://www.rainbowmigration.org.uk/news/travelling-as-a-person-with-refugee-status/,"Have you recently been granted refugee status? If so, this is probably a big moment for you and you will surely be feeling a sense of relief. There is quite a lot to sort out in your life and to help with that we havea guide that outlines how you can access housing, benefits, education, training and employment after you have been granted. But you might have some broader questions as well, like whether you can leave the country and whether it is safe for you to travel abroad particularly as an LGBTQI+ person. Our Trustee, Ucman Scher, is a former refugee and has travelled extensively to over 75 countries and blogs underBrownBoyTravels. He has kindly provided some information about his personal experiences of travelling after being granted refugee status. You can find more of Ucman’s travel tips and tricks on hisblog,Instagram,TikTokandYouTubechannel. **Before we proceed, please be awarethat this article is based on real life experience andshould not be taken aslegal advice.For all legal matters, please consult a lawyer or relevantprofessional.** What is refugee travel and why is it any different from non-refugee travel? Travelling as a person with refugee status is quite a different experience from regular travel because the rules that apply to air travel and crossing borders are different. A good example is theSchengen Area. While anyone else with a Schengen visa can travel freely within the zone, each country applies a different requirement for people with refugee status. Safety is also a concern as is the risk of losing your documentation abroad. Are people with refugee status allowed to travel? Yes and no. The most common misconception is that once you have refugee status you are supposed to stay in the same country, work, build your life and that’s pretty much it. I call it the guilt of pleasure. Just because you have been granted asylum status doesn’t mean you should deny yourself any pleasures of life, and travelling is one of the best of them. You can travel to broaden your horizons and gain new experiences. In my case it really helped me heal trauma. Learning about other cultures, and meeting new, kind people all over the world has helped me see  life from a different perspective. The only exception is travelling to your home country. This is a serious issue and your asylum can be revoked on return. More importantly you shouldn’t travel there since your life might be in  danger in your home country. What documentation do you need to travel as a person with refugee status? As part of your asylum application, the Home Office will have taken your national passport away. However you can apply for and travel with aRefugee travel documentthat the Home Office can issue. You will need someone to verify/certify the application. You should always keep yourBRPon you at all times, you need it to re-enter the country. I have a refugee travel document, should I book my tickets and get ready to fly now? Not quite yet! We still have some more preparation to do before that flight. If you receive benefits, you should check the conditions of your benefits before and if the travel is essential, you must notify the job centre and get permission from your benefits case handler to travel as an exception. The next big item on the to-do list is checking whether you require a visa to enter your chosen destination. What is the process of obtaining visas as a refugee? This is the most difficult part of your plans, and  the most annoying part of travelling. Like I mentioned before,  every single country in the EU and Schengen Area has different rules for people travelling with refugee status and you must check the embassy or consulate website for each country before you plan your travels. Finding out if and how you need a visa is also a little bit of a painful process, as you must go beyond the  British citizens’ page on the embassy or consulate website. For some countries, it will be quite clear.  Other times it will be quite ambiguous, and in some cases, there might not be any information. If this is the case, you can go to Ministry of Foreign Affairs website and look for the information there. If it is not available on their website, you will have to write to or call the embassy to find out the necessary information. I would also highly recommend keeping the embassy link or written communication with you when you go to the airport. For example, when I tried to visit Iceland there was an issue with my visa status. According to the Icelandic consulate in London, I did not need a visa, but the airline and the border agency of Iceland insisted that I did. I was not allowed into the plane and had to come back to London. I then waited for the consulate to open the next morning and got written permission to board the next flight, for a trip I had arranged for my birthday with my friends. All these problems slightly spoiled the occasion, but sadly this is the reality of travelling as a person with refugee status. Other practical tips: General safety tips: 1- Don’t tell anyone that you have refugee status unless you trust them completely. Romantic liaisons abroad shouldn’t fall into the trusted category, I’m afraid. 2-Keep your travel document and BRP safe at all times, I’d go as far as saying, keep it dearer than your life.It is the most important item whilst you are travelling.If you loseit,you will have to apply for a newvisa(notjust the refugee traveldocument) and doing so in a foreign land can be costly and quite a headache with all the paperwork and documentation. I would recommend keeping it inasafe andhavinga coloured copyof iton you at all times,toavoid taking it around with you. 3- You should also be aware that you are not a British Citizen and the British consulates do not offer protection topeople with refugee statusas such; in short you are on your own. Do not do anything illegal or get intoanytrouble, thiswould put you in a very vulnerable situation.The most common reasonpeople have issues abroad is becausetheyuse recreational drugs. Obey the law and be responsible and you’ll be perfectly fine. I have never had to contact a British embassy abroad sounfortunatelyI cannot tell you how long it would take to get your documentation in order or how helpful they are in case of legal trouble.If you have someexperience, please do reach outto mewith your experience, I’m always glad to hearother people’sexperiences. Is there any other advice you’d like to give? All of the information above might seem daunting but once you arrive at your destination, it will be worth it. Travelling will help you with so many things. I always say, Eat, travel and be merry! Disclaimer The content of this website is provided for general information only and should not be relied on as legal advice. Rainbow Migration disclaims any liability resulting from reliance on such information. You are strongly advised to seek professional legal advice from a qualified immigration solicitor.  hello@rainbowmigration.org.uk020 7922 78117-14 Great Dover St,London SE1 4YR © 2024 Rainbow Migration. All rights reserved"
Rainbow Migration,Less scrutiny means more risk for LGBTQI+ people in detention,18-Jan-23,https://www.rainbowmigration.org.uk/news/less-scrutiny-means-more-risk-for-lgbtqi-people-in-detention/,"ThisGovernmenthas stopped commissioningtheannualindependentreviews into the treatment of vulnerable adultsinimmigrationdetention.If there is no onethat keeps an eye onthe conditionsin detention,LGBTQI+ people couldbe put at risk ofmoreharm. Last week, the Independent Chief Inspector of Borders and Immigration (ICIBI), David Neal, and the former Prisons and Probation Ombudsman, Stephen Shaw CBE,reportedthat this Government was ending their annual independent investigations into the treatment of vulnerable adults in detention. What is the Adults at Risk policy and how long has it been independently reviewed? TheAdults at Risk policy(AaR) recognises that certain groups of people may be “particularly vulnerable to harm in detention” and creates a presumption that these groups should not be detained. The AaR includes trans and intersex people and our ‘No Pride in Detention’campaign is calling for lesbians, gay and bisexual people to also be included in this policy, as there is evidence that they also experience homophobic bullying, harassment and abuse when locked up. The ICIBI carries out reviews on the effectiveness of the Home Office’s practices and policies towards adults at risk in immigration detention since 2015 and makes recommendations to improve the conditions of detention. But as the ICIBInotes, “though many recommendations arising from our reviews and inspections have been accepted, progress in implementing them has been painfully slow”. For instance, in 2019, Inhis report on the Adults at Risk annual inspection, the ICIBI commented upon the fact that the Home Office does not collect data on the number of LGBTQI+ people who are detained, and therefore it was “hard to see how the Home Office is able to assess the quality of its decisions to detain or the impacts of detention on specific group”. This is a recommendation that has not been implemented yet. Latest ICIBI report released The news about the end of these reviews comes as the last annual report hasjust been released, in which the Inspectorate reports that “officers in both Yarl’s Wood and Harmondsworth [detention centres] told inspectors that being under-resourced and carrying vacancies was negatively affecting the delivery of their required engagement activity”, with delays of “up to a month”. The “engagement activity” includes inductions for new arrivals to detention, in which LGBTQI+ people have the opportunity to raise their sexual orientation and/or gender identity with officials. If people don’t have the opportunity to raise that they are LGBTQI+ when they enter the detention centre, it can be more difficult to raise this at a later stage, and people may not be made aware of policies that are in place to protect them from bullying, discrimination and abuse. With these inspections coming to an end, the Home Office will face less pressure to comply with the policy and improve conditions in detention for adults at risk, including LGBTQI+ people. The Governmenthas saidit plans to “take the welfare of detained individuals extremely seriously”, but at Rainbow Migration we find it hard to understand how they are going to achieve that while dismantling the independent scrutiny mechanisms in place. Immigration detention is not safe for anyone. Being detained puts many people who are often already traumatised, at even greater risk of poor mental health and suicide. This is especially true for LGBTQI+ people. Instead of trying to end the annual reviews on the adults at risk policy’s effectiveness, this Government should put an end to the detention of LGBTQI+ people and set a time limit on all immigration detention. There is#NoPrideInDetention. Disclaimer The content of this website is provided for general information only and should not be relied on as legal advice. Rainbow Migration disclaims any liability resulting from reliance on such information. You are strongly advised to seek professional legal advice from a qualified immigration solicitor.  hello@rainbowmigration.org.uk020 7922 78117-14 Great Dover St,London SE1 4YR © 2024 Rainbow Migration. All rights reserved"
Rainbow Migration,Survey: Our new vision,06-Jan-23,https://www.rainbowmigration.org.uk/news/survey-our-new-vision/,"Rainbow Migration’s new vision   Disclaimer The content of this website is provided for general information only and should not be relied on as legal advice. Rainbow Migration disclaims any liability resulting from reliance on such information. You are strongly advised to seek professional legal advice from a qualified immigration solicitor.  hello@rainbowmigration.org.uk020 7922 78117-14 Great Dover St,London SE1 4YR © 2024 Rainbow Migration. All rights reserved"
Rainbow Migration,Video: 2022 in review,21-Dec-22,https://www.rainbowmigration.org.uk/news/video-2022-in-review/,"2022 has been a year of progress and continued success for us, and we have so much to be proud of from the last 12 months. Watch some of the highlights of what has been a great year!⁠ Thank you so much for all your ongoing support, and we look forward to more reasons to celebrate in 2023. Disclaimer The content of this website is provided for general information only and should not be relied on as legal advice. Rainbow Migration disclaims any liability resulting from reliance on such information. You are strongly advised to seek professional legal advice from a qualified immigration solicitor.  hello@rainbowmigration.org.uk020 7922 78117-14 Great Dover St,London SE1 4YR © 2024 Rainbow Migration. All rights reserved"
Rainbow Migration,Key highlights from 2022,15-Dec-22,https://www.rainbowmigration.org.uk/news/key-highlights-from-2022/,"As we near the end of 2022, we wanted to share some key highlights from 2022 with you: We are proud to have achieved so much in 2022 against the backdrop of an increasingly challenging external environment. Egregious policies and legislation such as theRwanda dealand theNationality and Borders Act,which acutely affect LGBTQI+ people seeking asylum, have caused heightened fear and anxiety among our service users. Our support services and specialist legal advice service have been a lifeline for many, helping LGBTQI+ people seeking asylum to reduce isolation, build support networks and succeed in the asylum process. Here is an infographic that highlights the impact of the practical, emotional, and legal support we have provided to LGBTQI+ people seeking asylum in 2022: Disclaimer The content of this website is provided for general information only and should not be relied on as legal advice. Rainbow Migration disclaims any liability resulting from reliance on such information. You are strongly advised to seek professional legal advice from a qualified immigration solicitor.  hello@rainbowmigration.org.uk020 7922 78117-14 Great Dover St,London SE1 4YR © 2024 Rainbow Migration. All rights reserved"
Rainbow Migration,“I aspire to create a community that can champion kindness and caring”,14-Dec-22,https://www.rainbowmigration.org.uk/news/in-the-week-leading-up-to-international-migrants-day-18-december-we-celebrate-everyone-who-has-moved-across-international-borders-whether-by-choice-or-necessity/,"In the week leading up toInternational Migrants Day(18 December), we celebrate everyone who has moved across international borders, whether by choice or necessity. This yearwe have partnered up with IOM and IMIXto highlight the voice of Zarith, one of the people that we arecurrently supportingand a lived experience ambassador of theInternational Migrants Day Ambassador Programme. Zarithis a journalist, a poet, and a “wannabeastronaut”, as he describes himself. He came to the UK to start a new life, free from harm, and is currently awaiting a decision on whether this government will allow him to live in safety in the UK. If he is granted asylum, he hopes to continue his studies at University College London. He recentlytold Pink News: “We are people. We have lots to give. We want to add value to the country that we are in, and I’m really sad if the UK is going to [regress] in terms of human rights and protection for asylum seekers. That would be a really dark day for the UK.” Here is part of his blog: From a boy who runs around the village half- naked with my mum’s veil, while playing at serving ‘regal ’ afternoon tea to becoming a young scientist at 13, it has been a global soul searching for me to fit in somewhere I can safely and finally call my ‘home’. Born in a tropical island in Malaysia, a multicultural home set a deeply rooted, dynamic and diverse foundation that would carry me in various parts of the world. Not much interested in ‘manly ’sports in my younger days, romantic English literature from the likes of Jane Austen & William Wordsworth took me to faraway misty English countryside, often fantasising of my knight in shining armour. Thanks to my sister, she also introduced me to classical music, and I demanded to learn to play piano and master a few languages. As a chubby kid who loved a myriad of intercultural gastronomic delights, food has become central to one of my passions which is cooking. Having a beloved grandmother on my side who cooked almost every day, she lovingly hand-fed me simple, flavourful, home cooked meals. Having both of my parents who worked full time, my late grandmother was not only my source of inspiration but also the most altruistic soul who instilled in me bountiful gentleness, affection, empathy, and kindness to become the softhearted person that I am today. I could not thank her enough to be in my formative life to my mid teenage years. When she passed on, it was the biggest blow in my entire life as I felt as my wings had been clipped & my heart had been wrenched out of my ribcage. I remember reading her newspaper articles in her later years as she was unable to read due to her vision impairment, not knowing that I would become a journalist one day. Disclaimer The content of this website is provided for general information only and should not be relied on as legal advice. Rainbow Migration disclaims any liability resulting from reliance on such information. You are strongly advised to seek professional legal advice from a qualified immigration solicitor.  hello@rainbowmigration.org.uk020 7922 78117-14 Great Dover St,London SE1 4YR © 2024 Rainbow Migration. All rights reserved"
Women for Refugee Women,The Supreme Court ruled the Rwanda Plan unlawful,15-Nov-23,https://www.refugeewomen.co.uk/great-news-the-supreme-court-ruled-rwanda-plan-unlawful/,"On Wednesday 15th November the Supreme Court rejected the Government’s harmful Rwanda plan, and unanimously ruled that no-one seeking safety in the UK can be forcibly deported to Rwanda. The judgment is a resounding victory for all the organisations, individual claimants and legal professionals involved in the challenge, as well as everyone else who campaigned and took action. Our Director Alphonsine Kabagabo said: ‘The Supreme Court ruling sends a powerful message to the Government about just how inhumane, illegal and cruel their asylum policies are. We know how terrifying threats like the Rwanda plan are for the women in our network, who have survived serious violence and trauma, and need safety and stability in order to recover and rebuild their lives. We must continue to stand strong against the Government’s plans to ignore the Supreme Court’s judgment. When we stand together, in resistance, hope and compassion, we can challenge cruelty and create change. Let’s show the Government that their harmful policies do not represent us.’"
Women for Refugee Women,Suella Braverman’s speech: How it harms women and LGBTQ+ people,26-Sep-23,https://www.refugeewomen.co.uk/suella-bravermans-speech-how-it-harms-women-and-lgbtq-people/,"Suella Braverman’s speech: How it harms women and LGBTQ+ people We strongly condemn Suella Braverman’s speech today. The Refugee Convention, which was signed in 1951 following World War 2, makes no explicit mention of women or people who are LGBTQ+, but rightly, over time, the particular forms of persecution they face have been recognised by case law. Before these forms of persecution were recognised, women in our network like Anu who experienced extreme violence, rape and female genital mutilation, would not have been given refugee status – which could have had life or death consequences for her. Under Suella Braverman’s vision of the asylum system, this would happen again. Suella Braverman claimed today that ‘simply being gay or a woman and fearful of discrimination in your country of origin is sufficient to qualify for protection’ . As she well knows, this claim is false. To be granted asylum in the UK, you must prove well-founded fear of persecution. Braverman is deliberately spreading misinformation to whip up racism, hatred and fear about people seeking safety in order to score cheap political points. It is clear that she doesn’t care who she harms in the process of doing this. Her speech today is hypocritical. The Government have repeatedly stated its commitment to tackle violence against women and girls and support survivors of such. However, it seems this commitment doesn’t apply to women who are seeking asylum, who have experienced serious violence and trauma, including sexual exploitation, forced marriage, female genital mutilation and rape. Suella Braverman seeks to whip up hatred, division and fear. But we are better than this. We know that most people choose compassion and kindness. That we offer our hand to those in need of protection and welcome them into our communities. In the face of racism and hostility, we will continue to stand in solidarity with refugee and asylum-seeking women and support the women in our network to rebuild their lives in their UK. Our Director, Alphonsine Kabagabo, says: Suella Braverman’s speech today is dangerous. The Refugee Convention has rightly evolved since it was signed in 1951 following World War 2, to recognise the persecution of women and LGBTQ+ people. This expansion, which has happened via case law, is a good thing. It means that women and LGBTQ+ people are granted protection on the basis of gendered persecution, or on the basis of their sexuality or gender identity. Braverman’s attempt to minimise the persecution suffered by women and LGBTQ+ people could have life or death consequences. The majority of women we support, including LGBTQ+ women, are survivors of persecution including gender-based abuse, sexual violence, rape and other torture. The Government may want to turn their backs on these women, but we never will. Instead of whipping up hate, fear and division, the Government should treat people seeking safety in the UK with compassion and kindness. How we treat people is who we are and Suella’s speech today sends a loud and clear message."
Women for Refugee Women,A huge congratulations to Agnes and Loraine for winning the Pioneer 20 award!,06-Sep-23,https://www.refugeewomen.co.uk/a-huge-congratulations-to-agnes-and-loraine-for-winning-the-pioneer-20-award/,"Women for Refugee Women are extremely proud to announce that Agnes Tanoh , our Spokesperson Facilitator, and Loraine Masiya Mponela , one of our trustees, have both won a Visa Everywhere Pioneer 20 award. The award spotlights trailblazing refugee women who excel in their respective fields and have a meaningful impact in their communities – and Agnes and Loraine certainly do! Agnes In her home country of Cote d’Ivorie, Agnes was a high-ranking member of a political party, and personal assistant to the First Lady – a career which she loved and excelled at. But when civil war broke out in 2010, she had to flee to save her life. Agnes waited 7 long years in the asylum system in the UK before receiving her refugee status, which included 3 months in immigration detention and experiencing homelessness. Despite all that she has been through, Agnes channels her experiences into a positive force – to make change for other women like her. Agnes says, ‘No-one chooses to be an asylum-seeker. I never thought it would happen to me. I suffered so much for no reason. I won’t let any other women suffer like me.’ Agnes now wears many hats. She is Spokesperson Facilitator at Women for Refugee Women in which she supports a group of refugee and asylum-seeking women to develop their knowledge and skills on how to speak out, advocate, and campaign for change. She volunteers at Women With Hope in Birmingham, a charity supporting destitute refugee and asylum-seeking women, and supports individual women through the gruelling asylum process. Agnes also campaigns tirelessly against the hostile asylum process and is a passionate and inspiring campaigner, regularly speaking at protests, to the local and national media, and to parliamentarians. She also started her own petition against Derwentside, the main detention centre for women in the UK, in County Durham, which now has over 17,000 signatures. Agnes has become a real pillar of her community and is often affectionately referred to as ‘Mama Agnes’. Agnes said: “I would like to express all my gratitude to Pioneer 20. Their awards recognise the value, the potential, the aptitudes that people seeking asylum have. It gives meaning to our existence in this country where the environment is increasingly hostile to those seeking safety, protection, security or simply a better life. I also want to say thank you to all the organizations who believed in me while I was seeking asylum, these are organisations like Hope Project, Women With Hope, and Baobab, who I volunteered for during my long wait for my refugee status, to give back to other people like me who are in the process of waiting for their status. I am particularly proud  of Women For Refugee Women, who believed in me and my abilities as a campaigner. I can speak for my sisters, and inform the public about the harsh reality for people seeking asylum. To the government, I want to say: We have skills, give us the opportunity to use them. We have a heart to give our love, our compassion and our support to all the people in our community.” Loraine Loraine, originally from Malawi, was studying in the UK at the University of Leeds, alongside working as a primary school teacher, when a change in her circumstances meant she had to claim asylum in the UK. Whilst waiting for her refugee status, which took several years, Loraine was not allowed to work, study, or access any mainstream welfare support. She existed on just over £5 per day for food, toiletries, clothing, travel, and other needs. Despite the difficulties that she has been through, Loraine has achieved, and continues to achieve so much as an inspiring leader, campaigner, and published poet! Loraine balances many roles and responsibilities. Loraine has been a trustee at Women for Refugee Women since 2020, bringing her wealth of knowledge and her experience of claiming asylum in the UK to the Board. Previously, she was the Chair of the grassroots organisation, CARAG, which is based in Coventry and supports individuals who are subjected to hostile immigration policies in the UK. Loraine is also a founding member and one of the spokespeople for the Status Now 4 All network, which campaigns for undocumented migrants and migrants in the UK to be granted leave to remain. Loraine now works as a Network Community Worker at Migrant Voice. Alongside her campaigning, Loraine writes poetry about the hostile environment, which has been published in several anthologies. Loraine said: “I am very excited and happy and full of gratitude to Visa and We Are The City for giving me and people like me who have felt voiceless the opportunity; the chance to voice our personal journeys and share it with the world at large. I am truly humbled.” Our Director, Alphonsine Kabagabo, said: I am delighted that my colleague Agnes and one of our trustees Loraine have been nominated to receive the Visa Everywhere Pioneer 20 award. Agnes and Loraine truly deserved the recognition, despite facing a lot of challenges  in their journey to seek protection in UK, they have remained positive and have made a huge and meaningful impact in their new communities. They are both, without a doubt, great roles models for many other women going through the same challenges, and I am so proud to work alongside and know them both! A huge congratulations to both incredible women. Their hard work, passion, resilience, and activism is an inspiration to us all!"
